category_id,category_name_ko
1,디지털기기
2,생활가전
3,가구/인테리어
4,생활/주방
5,유아동
6,유아도서
7,여성의류
8,여성잡화
9,남성패션/잡화
10,뷰티/미용
11,스포츠/레저
12,취미/게임/음반
13,도서
14,티켓/교환권
15,가공식품
16,건강기능식품
17,반려동물용품
18,식물
19,자동차/자동차부품
20,기타 중고물품
21,삽니다
273,건강/취미 도서
274,경제/경영 도서
275,대학교재
276,수험서/자격증
277,만화책
278,라이트노벨
279,사회/정치 도서
280,인문/예술 도서
281,문학
282,에세이
283,여행책
284,역사책
285,요리책
286,자기계발
287,언어/외국어
288,잡지
289,종교/철학 도서
290,참고서
291,컴퓨터/IT 도서
292,과학/공학 도서
293,해외원서
294,기타 도서
99,꽃
100,화병/화분
101,원예소품
102,식물
103,식물영양제/비료
104,씨앗/모종
105,자갈/모래/흙
106,농기구
133,아동 의류
134,아동 신발
135,아동 잡화
136,아동 스포츠 용품
137,유아 의류
138,유아 잡화
139,기저귀
140,물티슈
141,유아 외출용품
142,수유용품
143,유아동 자전거
144,유모차
145,유아가구
146,이유식용품
147,장난감
148,유아동 목욕용품
149,안전용품
150,유아 침구
151,카시트
323,과자/간식
324,라면/면류
325,유제품
326,조미료/양념
327,즉석조리식품
328,커피/차
329,음료
330,통조림
331,식용유
332,잼
48,TV
49,청소기
50,냉장고
51,세탁기/건조기
52,겨울 가전
53,공기청정기
54,제습기/가습기
55,보일러/온수기
56,냉방기기
57,오븐/전자레인지
58,전기밥솥
59,전기그릴
60,와인셀러
61,믹서기
62,에어프라이어
63,인덕션/가스레인지
64,전기포트
65,정수기
66,제빙기
67,커피머신
68,토스터기
69,식기세척기
70,기타 주방가전
71,의류 가전
72,욕실 가전
73,멀티탭
74,미용 가전
75,건강기기
159,니트/가디건
160,맨투맨/후드
161,블라우스/셔츠
162,티셔츠
163,아우터
164,팬츠
165,레깅스
166,스커트
167,원피스
168,운동복
169,속옷
170,홈웨어
171,전통 의상
172,수영복
173,유니폼/코스튬
174,정장
175,여성 골프웨어
176,여성 스포츠웨어
177,가방
178,모자
179,벨트
180,아이웨어
181,스카프
182,겨울 패션 소품
183,시계
184,양말
185,장갑
186,브로치
187,쥬얼리
188,지갑
189,키링
190,신발
152,유아동 문학책
153,유아동 만화
154,유아 학습도서
155,유아 그림책
156,전래동화
157,토이북
158,유아 도서
220,네일용품
221,베이스 메이크업
222,아이 메이크업
223,치크 메이크업
224,립 메이크업
225,기타 메이크업
226,클렌징
227,필링 용품
228,피부관리기기
229,뷰티소품
230,스킨케어
231,바디케어
232,향수
233,헤어 용품
234,남성 화장품
235,기타 바디케어 용품
107,건전지
108,공구
109,마스크/의약외품
110,성인기저귀
111,생리대
112,화장지
113,찜질용품
114,우산
115,와인용품
116,생활잡화
117,세탁용품
118,욕실용품
119,청소용품
120,칫솔/치약
121,휴지통
122,식기류
123,조리도구
124,보관용기
125,주방용품
126,주방 일회용품
127,주전자/티포트
128,주방잡화
129,정수기
130,제습/방향/탈취제
131,호신용품
132,문구/사무용품
22,PC/데스크탑
23,PC부품
24,저장장치
25,노트북
26,노트북 주변용품
27,네비게이션
28,도어락
29,드론
30,키보드/마우스
31,모니터
32,빔프로젝터
33,스마트워치
34,스피커
35,차량 악세서리
36,카메라
37,카메라 악세서리
38,태블릿PC
39,태블릿 악세서리
40,프린터/복합기
41,이어폰
42,헤드셋
43,휴대폰
44,휴대폰 악세서리
45,마이크
46,오디오/플레이어
47,공유기
236,골프용품
237,낚시용품
238,농구용품
239,당구용품
240,등산용품
241,클라이밍용품
242,배드민턴용품
243,수상레저용품
244,수영용품
245,스케이트보드
246,스키용품
247,야구용품
248,축구용품
249,탁구용품
250,볼링용품
251,테니스용품
252,스쿼시 용품
253,복싱 용품
254,태권도 용품
255,검도 용품
256,기타 스포츠
257,홈트레이닝
258,캠핑용품
259,여행용품
260,자전거
261,자전거용품
295,숙박권
296,공연 관람권
297,영화 관람권
298,전시회 관람권
299,놀이공원/워터파크 입장권
300,상품권
301,스포츠 관람권
302,e쿠폰
303,커피/식음료 교환권
304,기타 티켓
333,유산균
334,비타민
335,영양제
336,홍삼
337,건강즙
338,건강환/정
339,기타 건강기능식품
305,강아지 외출용품
306,고양이 외출용품
307,강아지 배변용품
308,고양이 배변용품
309,강아지 푸드
310,고양이 푸드
311,강아지 치아 용품
312,고양이 치아 용품
313,반려동물 가구
314,기타 강아지 용품
315,기타 고양이 용품
316,반려동물 밥그릇
317,관상어 용품
318,곤충 용품
319,파충류 용품
320,소동물 용품
321,기타 가축용품
322,기타 반려동물 용품
76,러그/카페트
77,매트
78,커튼/블라인드
79,홈패브릭
80,배게/이불
81,쿠션/방석
82,인테리어 소품
83,조명
84,홈프레그런스
85,소파
86,침대
87,매트리스/토퍼
88,책상/테이블
89,선반
90,수납/정리용품
91,수납장
92,진열장/책장
93,옷장
94,의자
95,거울
96,파티션
97,화장대
98,야외가구
191,니트/가디건
192,맨투맨/후드
193,셔츠
194,티셔츠
195,아우터
196,바지
197,운동복
198,속옷
199,홈웨어
200,전통 의상
201,수영복
202,유니폼
203,코스튬
204,정장
205,가방
206,넥타이
207,모자
208,벨트
209,쥬얼리
210,아이웨어
211,스카프
212,겨울 패션 소품
213,시계
214,양말
215,장갑
216,지갑
217,신발
218,골프웨어
219,남성 스포츠웨어
262,게임
263,게임기
264,성인 완구
265,보드게임
266,뜨개질용품
267,미술품
268,수집품
269,악기
270,음향 기기
271,음반
272,DVD
340,중고차
341,클래식 카
342,차량 부품/액세서리
343,타이어
344,모토사이클
345,ATV/설상차
346,보트
347,RV/캠핑카/트레일러 
348,중장비
480,스마트 TV
481,기타 TV
482,TV 리모콘
1246,DVD/블루레이
625,꽃
1366,잼
891,여성 백팩
892,클러치백
893,숄더백
894,크로스백
895,토트백
896,에코백
897,파우치
898,보스턴 가방
899,캐리어
900,가방 악세서리
901,기타 여성가방
965,백팩
966,클러치백
967,숄더백
968,서류 가방
969,크로스백
970,토트백
971,에코백
972,파우치
973,보스턴 가방
974,캐리어
975,가방 악세서리
976,기타 남성가방
617,거울
1198,게임타이틀
646,공구
647,공구함
648,접착용품
649,테이프
650,페인트
379,드론
550,매트
902,모자
979,모자
1255,소설/시
942,청바지
943,슬랙스
944,면바지
945,반바지
946,기타 바지
947,점프수트
903,벨트
980,벨트
1417,카누/카약
1418,모터보트
1419,요트
1420,기타 보트 및 선박
591,선반
934,셔츠
581,소파
582,리클라이너
855,내복
856,보정속옷
857,브래지어
858,속치마/속바지
859,팬티
860,기타 여성 속옷
953,내복
954,런닝
955,팬티
910,손목 시계
991,손목 시계
632,식물
633,나무/묘목
634,잔디
635,다육식물
636,선인장
637,분재
638,기타 식물
921,샌들
922,구두
923,단화/플랫슈즈
924,워커/부츠
925,기타 여성화
926,슬리퍼
927,운동화
996,샌들
997,구두/로퍼
998,워커/부츠
999,기타 남성화
1000,슬리퍼
1001,운동화
1222,피아노
1223,바이올린
1224,첼로
1225,드럼
1226,전통 악기
1227,어쿠스틱 기타
1228,일렉 기타
1229,베이스
1230,트럼펫
1231,플룻
1232,디지털 피아노
1233,신디사이저
1234,미디콘트롤러
1235,기타 전자악기
1236,키보드 피아노
1237,기타 관악기
1238,기타 현악기
1239,기타 타악기
1240,악기 소품
911,스타킹/타이즈
912,양말
992,타이즈
993,양말
606,행거
607,옷장
663,우산
1359,생수
1360,과일/야채음료
1361,탄산음료
1362,스포츠음료
1363,차
1244,CD
1245,LP
608,식탁의자
609,스툴
610,빈백
611,안락의자
612,흔들의자
613,사무용의자
614,게이밍의자
615,좌식의자
616,기타의자
1263,잡지
913,여성 장갑
994,남성 장갑
872,여성 정장
964,남성 정장
568,천장등
569,장스탠드
570,단스탠드
571,데스크스탠드
572,무드등
573,센서등
574,전구
575,기타 조명
919,여성 지갑
995,남성 지갑
583,침대
920,키링
840,청바지
841,슬랙스
842,면바지
843,반바지
844,기타 바지
1067,향수/코롱
1384,홍삼액
1385,홍삼스틱
1386,기타홍삼제품
1288,스타벅스 프리퀀시
1289,e쿠폰
354,RAM
355,CPU
356,메인보드
357,파워서플라이
358,쿨러
359,그래픽 카드
360,기타 PC 부품
1387,건강즙
645,건전지
1199,VR 기기
1200,컨트롤러
1201,XBOX
1202,닌텐도
1203,플레이스테이션
1204,기타 게임기
479,공유기
771,일회용 기저귀
772,천기저귀
486,김치 냉장고
487,미니 냉장고
488,캠핑 냉장고
489,기타 냉장고
977,넥타이
978,넥타이핀
368,애플 맥북
369,LG그램
370,삼성 갤럭시북
371,게이밍 노트북
372,기타 노트북
643,농기구
644,잔디깍기/예초기
378,도어락
845,레깅스
466,PC용 마이크
467,레코딩용 마이크
468,무선 마이크
469,노래반주기
1251,만화책
535,멀티탭
386,스마트 모니터
387,휴대용 모니터
388,게이밍 모니터
389,TV 모니터
390,기타 모니터
773,아기 물티슈
1213,그림/포스터
1214,도자기
1215,기타 미술품
513,믹서기
514,핸드블렌더
914,브로치/와펜
1368,멀티비타민
1369,비타민A
1370,비타민B
1371,비타민C
1372,비타민D
1373,비타민E
1374,기타비타민
1281,문화 상품권
1282,백화점 상품권
1283,외식 상품권
1284,기타 상품권
655,생리대
656,탐폰
657,생리컵
599,서랍장
600,수납장
601,거실장
602,주방 수납장
603,협탁
865,여성 수영복/비키니
866,래쉬가드
867,비치웨어
959,남성 수영복
1216,기념주화/화폐
1217,피규어/인형
1218,우표/씰
1219,아티스트 굿즈
1220,기타 머천다이즈
1221,기타 수집품
1271,리조트 숙박권
1272,호텔 숙박권
1273,기타 숙소 숙박권
906,머플러
907,스카프
987,머플러
988,스카프
846,스커트
399,AI 스피커
400,블루투스 스피커
401,사운드바
402,기타 스피커
686,공기/대접
687,접시
688,컵
689,숟가락
690,젓가락
691,포크/나이프
692,기타 식기
1365,식용유/오일
836,코트
837,패딩
838,자켓
839,조끼/베스트
938,코트
939,패딩
940,자켓
941,조끼/베스트
1256,에세이
1257,여행 도서
1258,역사 도서
1375,밀크씨슬
1376,오메가3
1377,루테인
1378,알로에정/겔
1379,프로폴리스
1380,크릴오일
1381,키토산
1382,클로렐라
1383,기타 영양제
1259,요리 도서
850,조거팬츠
851,기능성 티셔츠
852,기능성 바지
853,기능성 자켓/집업
854,요가복
948,조거팬츠
949,기능성 티셔츠
950,기능성 바지
951,기능성 자켓/집업
952,요가복
847,원피스
848,드레스
849,점프수트
960,스포츠 유니폼
961,교복 
783,유모차
1367,유산균
1343,치즈
1344,요거트
1345,두유
1346,멸균우유
449,유선 이어폰
450,블루투스 이어폰
451,에어팟
452,버즈
1189,로드 자전거
1190,산악용 자전거
1191,전기 자전거
1192,미니벨로 자전거
1193,기타 자전거
1194,자전거 악세서리
1195,자전거 부품
793,스포츠 장난감
794,로봇 장난감
795,킥보드
796,붕붕카
797,모빌
798,보행기
799,기타 영유아 장난감
521,정수기
720,정수기
522,제빙기
1390,자동차
1391,트럭
1424,농업 장비
1425,중장비
1426,대형 트럭
915,귀걸이/피어싱
916,목걸이
917,반지
918,팔찌
981,귀걸이/피어싱
982,목걸이
983,반지
984,팔찌
1265,초등참고서
1266,중고등참고서
483,로봇 청소기
484,무선 청소기
485,기타 청소기
410,DSLR 카메라
411,DSLR 렌즈
412,미러리스 카메라
413,미러리스 렌즈
414,하이엔드 카메라
415,액션캠
416,캠코더
417,디지털 카메라
418,필름 카메라
419,즉석카메라
420,미니카메라
421,CCTV 카메라
422,홈카메라
423,기타 카메라
808,영유아 카시트
962,코스튬
963,기타 이벤트 의류
1042,클렌징폼
1043,클렌징오일
1044,기타 클렌징 제품
1407,타이어/림
821,놀이책/교구
822,유아 퍼즐
1364,통조림
833,반팔 티셔츠
834,긴팔 티셔츠
835,민소매 티셔츠
935,반팔 티셔츠
936,긴팔 티셔츠
937,민소매 티셔츠
618,파티션
453,유선 헤드셋
454,블루투스 헤드셋
861,잠옷
862,목욕가운
863,슬립/란제리
956,잠옷
957,목욕가운
619,화장대
658,화장지
659,물티슈
660,키친타올
455,기타 스마트폰
456,피쳐폰
457,아이폰
458,갤럭시
684,휴지통
685,분리수거함
1354,커피 음료
1355,커피믹스
1356,원두
1357,밀크티
1358,티백
429,아이패드
430,갤럭시탭
431,이북리더기
432,액정 타블렛
433,기타 태블릿 PC
539,안마기
540,안마의자
541,구강관리기기
542,전동칫솔
543,구강세정기
544,건강측정기기
545,체중계
546,체온계
547,혈압계
548,보청기
1086,스탠드백
1087,캐디백
1088,하프백
1089,골프장갑
1090,항공커버
1091,드라이버
1092,유틸리티우드
1093,페어웨이우드
1094,아이언
1095,퍼터
1096,웨지
1097,스윙네트
1098,퍼팅매트
1099,기타 골프 용품
1002,골프 티셔츠
1003,골프 바지
1004,골프 아우터
1005,골프 니트/스웨터
1006,골프 조끼
1007,골프 셔츠
1008,골프 우비/레인자켓
1009,골프 언더레이어
1010,기타 골프웨어
1011,골프 장갑
1012,골프 모자
1013,골프화
1100,낚시대
1101,낚시릴
1102,낚시 의자
1103,기타 낚시 용품
503,선풍기
504,서큘레이터
505,벽걸이형 에어컨
506,창문형 에어컨
507,기타 에어컨
1019,젤 네일
1020,네일팁
1021,기타 매니큐어
1022,네일케어 도구
1104,농구공
1105,농구화
1106,기타 농구용품
1107,당구대
1108,당구공
1109,큐대
1110,기타 당구용품
1249,대학교재
1111,등산 배낭
1112,등산 스틱
1113,기타 등산 용품
1061,바디워시
1062,바디로션
1063,바디미스트/샤워코롱
1064,바디오일
1065,데오드란트
1066,비누
699,텀블러
700,보온병
701,기타 밀폐 용기
702,아이스박스
703,수저통
704,도시락 용기
1209,보드게임
1210,퍼즐/큐브
1149,볼링공
1150,볼링화
1151,기타 볼링용품
1048,메이크업 브러쉬
1049,기타 메이크업 소품
1050,클렌징 소품
665,쇼핑백
666,기타 생활잡화
667,세탁세제
668,섬유유연제
669,표백제
670,기타 세탁용품
1125,물안경
1126,수영모
1127,수영가방
1128,기타 수영용품
777,수유패드
778,젖꼭지
779,젖병 워머
780,젖병 건조대
781,젖병 소독기
1132,스키
1133,스노우보드
1134,고글
1135,기타 스키/보드 용품
1136,하키 스틱
1137,기타 하키 용품
1051,스킨/토너
1052,로션
1053,에센스/세럼/앰플
1054,미스트
1055,크림
1056,마스크/팩
1057,선케어
1058,피부 관리기
1059,괄사/마사지기
1060,기타 스킨케어
904,선글라스
905,안경테
985,선글라스
986,안경테
802,헬멧/보호대
803,안전문
804,침대가드
1138,야구공
1139,야구배트
1140,야구 글러브
1141,기타 야구용품
620,야외테이블
621,야외의자
622,파라솔
623,울타리/펜스
624,기타 야외가구
1188,여행용품
512,와인셀러
664,와인용품
671,샤워타월
672,변기 용품
673,수건
674,샤워기
675,수전용품
676,욕실 청소도구
677,욕조
678,기타 욕실용품
629,물조리개
630,모종삽
631,기타 원예소품
784,유아동 침대
785,유아의자
786,유아 책상
787,장난감정리함
788,유아 놀이매트
789,기타 유아가구
1260,자기계발 도서
361,저장장치 악세서리
362,NAS
363,HDD
364,메모리카드
365,USB
366,기타 저장장치
367,외장하드
511,전기그릴
510,전기밥솥
519,전기포트
520,라면포트
820,전래동화
693,냄비
694,솥류
695,찜기류
696,프라이팬
697,불판
698,궁중팬/웍
705,주방세제
706,주방 세척용품
707,행주
708,주방장갑
717,냄비받침
718,앞치마
719,기타 주방잡화
661,손난로/핫팩
662,찜질용품
679,밀대/청소포
680,빗자루/쓰레받이
1142,축구공
1143,축구화
1144,기타 축구용품
1178,캠핑 랜턴
1179,캠핑 테이블
1180,캠핑 의자
1181,캠핑 취사용품
1182,캠핑 매트/매트리스
1183,침낭
1184,타프/캐노피
1185,텐트
1186,돗자리
1187,기타 캠핑용품
523,커피머신
1145,탁구공
1146,탁구 라켓
1147,탁구화
1148,기타 탁구용품
524,토스터기
1269,해외원서
724,잠금장치
725,호신용품
554,블랭킷
555,식탁보
1415,ATV
1416,설상차
1388,건강환/정
1162,검도 도복
1163,기타 검도 용품
493,온수매트
494,전기히터
495,라디에이터
496,기타 난방기기
497,전기장판
1329,곤충 사료/젤리
1330,사육통
1331,곤충 채집 용품
1338,크래커
1339,초콜릿
1340,기타 과자
1270,기타 도서
1294,기타 티켓/이용권
1341,라면
1342,기타 면류/파스타
536,전기면도기
537,고데기
538,헤어 드라이기
556,이불
557,베개
1158,복싱 글러브
1159,기타 복싱용품
1205,레고/블럭
1206,프라모델
1207,RC
1208,서바이벌건
641,씨앗/모종
751,아동 운동화
752,아동 구두/단화
753,아동 부츠
747,아동 내의
748,아동 패딩
749,아동 코스튬
750,기타 아동 의류
754,아동 모자
755,책가방
756,기타 아동 잡화
530,비데
531,칫솔살균기
532,반신욕기/전신욕기
533,족욕기
534,좌훈/좌욕기
823,유아 전집
824,기타 유아도서
763,유아 내의
764,유아 패딩
765,유아 양말
766,기타 유아 의류
767,기타 유아 스포츠 의류
768,유아동 가방
769,신생아 모자
770,기타 유아 잡화
805,겉싸개
806,속싸개
807,유아 이불
1241,앰프
1242,이펙터
1243,기타 음향기자재
528,다리미
529,스타일러
864,전통 의상
958,전통 의상
681,칫솔
682,치실/치간칫솔
683,치약
558,쿠션
559,방석
1392,클래식 카
1045,스크럽/필링
1068,샴푸
1069,트리트먼트
1070,컨디셔너
1071,헤어에센스
1072,헤어미스트
1073,헤어왁스
1074,탈모 용품
1075,염색약
1076,헤어왁스
1077,빗/브러쉬
1078,미용가위
1079,파마 용품
1080,기타 헤어 소품
1081,가발/붙임머리
626,화병
627,화분
628,화분받침대
349,올인원 PC
350,조립/반조립 PC
351,미니 PC
352,서버/워크스테이션
353,기타 PC
498,공기청정기
376,네비게이션
377,네비게이션 부품
1211,뜨개질용품
1212,기타 공예/DIY 용품
1252,라이트노벨
1408,오프로드 바이크
1409,스쿠터/포켓 바이크
1410,스포츠 바이크
1411,스포츠 투어러
1412,스트리트/크루저/초퍼
1413,투어링 모터사이클
1414,기타 오토바이
391,빔프로젝터 
392,휴대용 빔프로젝터
654,성인기저귀
393,기타 스마트워치
394,스마트밴드
395,스마트워치 악세서리
396,워치 충전기
397,애플워치
398,갤럭시워치
525,식기세척기
790,유아 식판
791,턱받이
792,기타 유아 식기
1196,헬멧
1197,보호 장비
1152,테니스공
1153,테니스 라켓
1154,기타 테니스용품
1165,요가매트
1166,폼롤러
1167,짐볼
1168,필라테스 용품
1169,실내 자전거
1170,런닝 머신
1171,스텝퍼
1172,훌라후프
1173,트램펄린
1174,푸쉬업바
1175,덤벨
1176,기타 홈트레이닝용품
1177,보호대
1305,강아지 간식
1306,강아지 사료
1307,강아지 영양제
1308,고양이 간식
1309,고양이 사료
1310,고양이 영양제
1274,뮤지컬 티켓
1275,연극 티켓
1276,콘서트 티켓
1325,수조등/조명
1326,어항/수조
1327,물고기 사료
1328,여과기/여과부품
1164,기타 스포츠
1082,쉐이빙 제품
1083,기타 남성 화장품
825,니트/스웨터
826,가디건
827,기타 니트
928,니트/스웨터
929,가디건
930,기타 니트
549,러그/카페트
1036,립스틱
1037,립밤
1038,립글로즈
1039,립틴트
828,맨투맨
829,후드티
830,후드 집업
931,맨투맨
932,후드티
933,후드집업
1334,햄스터 케이지
1335,베딩/톱밥
1155,스쿼시공
1156,스쿼시 라켓
1157,기타 스쿼시용품
1261,외국어 학습서
1262,사전
1277,영화 티켓
819,기타 그림책
811,아동 만화
1347,조미료
1348,소스
1349,설탕/소금
1350,식초
1351,기타 양념
604,진열장
605,책장
586,소파테이블
587,식탁
588,책상
589,좌식테이블
590,사이드테이블
1160,태권도 도복
1161,기타 태권도 용품
1332,파충류 사료
1333,파충류 하우스 용품
642,자갈/모래/흙
1115,셔틀콕
1116,배드민턴 라켓
1117,튜브
1118,오리발
1119,비치볼
1120,기타 물놀이 용품
1121,다이빙 용품
1122,고무보트
1123,카누패들
1124,기타 수상레저 용품
1129,킥보드
1130,인라인/롤러 스케이트
1131,스케이트보드
515,에어프라이어
1352,즉석밥
1353,냉동식품
1114,클라이밍화
1046,진동클렌저
1047,페이셜 마사지기
576,디퓨저
577,캔들
578,캔들워머
579,인센스/홀더
580,기타 프레그런스
1336,가축용품
1040,바디 메이크업
1041,기타 화장품
526,기타 주방가전
527,업소용 주방가전
584,매트리스
585,토퍼
726,노트
727,메모지
728,다이어리/플래너
729,스티커
730,캘린더
731,선물/포장용품
732,미술/화방용품
733,잉크/토너
734,계산기
735,데스크정리소품
736,일반포토앨범
737,파티소품
738,바인더/파일
739,복사용지
740,분필/보드마카
741,클립/압정
742,자석
743,필기용품
744,필통/파우치
745,기타 문구 소품
746,기타 사무 용품
1313,반려동물 계단
1314,반려동물 매트
1315,반려동물 울타리/철장
1316,반려동물 하우스/쿠션
501,보일러
502,온수기
831,블라우스
832,셔츠
490,드럼 세탁기
491,기타 세탁기
492,건조기
592,트롤리
593,빨래 바구니
594,수납박스
595,옷걸이
596,후크
597,신발정리대
598,기타 정리용품
1250,수험서/자격증
1285,축구 티켓
1286,야구 티켓
1287,기타 스포츠 경기 티켓
1028,마스카라
1029,아이브로우
1030,아이라이너
1031,속눈썹
1032,섀도우
873,골프 티셔츠
874,골프 바지
875,골프 치마
876,골프 아우터
877,골프 니트/스웨터
878,골프 조끼
879,골프 셔츠
880,골프 우비
881,골프 언더레이어
882,기타 골프웨어
883,골프 장갑
884,골프 모자
885,골프화
868,스포츠 유니폼
869,교복 
870,코스튬
871,기타 이벤트 의류
774,기저귀가방
775,아기띠
776,포대기
812,한글 학습책
813,히라나가 학습책
814,알파벳 학습책
815,유아 과학책
816,유아 영어책
817,유아 학습지
818,어린이 잡지
809,명작동화
810,창작동화
782,유아동 자전거
560,가전/가구 커버
561,시계
562,그림/포스터
563,패브릭포스터
564,기타 장식품
565,파티용품
566,조화
567,액자
1278,전시회 티켓
499,제습기
500,가습기
709,종이컵
710,비닐장갑/봉투
711,랩
712,호일
713,지퍼백
714,일회용 용기
715,주전자
716,티포트
403,기타 차량용 디지털 악세서리
404,블랙박스
405,차량용 단말기기
406,차량용 카메라
407,스마트키
408,차량용 오디오
409,차량용 충전기
1033,블러셔
1034,하이라이터
1035,쉐딩
551,암막커튼
552,일반커튼
553,블라인드
1267,컴퓨터/IT 도서
380,무선마우스
381,유선마우스
382,마우스패드
383,터치패드
384,무선키보드
385,유선키보드
439,3D 프린터
440,레이저 프린터
441,잉크젯 프린터
442,잉크젯 복합기
443,레이저 복합기
444,잉크/토너
445,포토 프린터
446,라벨 프린터
447,기타 프린터
448,스캐너
1247,건강/취미 도서
908,숄/망토
909,워머/바라클라바
989,숄/망토
990,워머/바라클라바
1248,경제/경영 도서
1268,과학/공학 도서
1253,사회/정치 도서
1254,인문/예술 도서
1264,종교/철학 도서
1303,강아지 배변용품
1295,강아지 목줄
1296,기타 반려동물 외출용품
1297,강아지 이동가방
1298,강아지 유모차
1299,강아지 카시트
1300,강아지 켄넬
1304,고양이 모래/화장실
1301,고양이 켄넬
1302,고양이 목줄
1014,남성 등산복
1015,등산화
1016,스키복
1017,보드복
1018,기타 남성 스포츠웨어
373,기타 노트북 악세서리
374,노트북 어댑터
375,노트북 충전기
651,마스크
652,기타 의약외품
653,건강보호대
1323,급수대
1324,반려동물 밥그릇
1023,컨실러
1024,쿠션/팩트
1025,파우더/팩트
1026,파운데이션
1027,BB/CC크림
639,식물영양제/비료
640,살충제
886,여성 등산복
887,등산화
888,스키복
889,보드복
890,기타 여성 스포츠웨어
470,오디오 플레이어
471,오디오 인터페이스
472,CD 플레이어
473,라디오
474,MP3
475,음성 녹음기
476,턴테이블
477,어학학습기
478,기타 음향 액세서리
508,오븐
509,전자레인지
800,유아 욕조
801,유아 스킨케어
424,기타 카메라 악세서리
425,카메라 배터리
426,카메라 충전기
427,카메라 케이스
428,카메라 삼각대
434,기타 태블릿 악세서리
435,태블릿 케이스
436,태블릿 거치대
437,태블릿 키보드
438,애플펜슬
459,기타 휴대폰 악세서리
460,휴대폰 케이스
461,셀카봉
462,휴대폰 거치대
463,보조배터리
464,휴대폰 케이블
465,휴대폰 충전기
1311,강아지 치아 용품
1312,고양이 치아 용품
1317,강아지 의류
1318,강아지 장난감
1319,고양이 의류
1320,고양이 장난감
1321,캣타워
1322,스크래쳐
757,아동 스키복
758,아동 스키용품
759,아동용 고글
760,아동 수영복
761,아동 아쿠아슈즈
762,기타 아동 스포츠 용품
721,방향제
722,제습제
723,탈취제
1389,기타 건강기능식품
516,인덕션
517,가스레인지
518,하이라이터
1421,화물 트레일러
1422,RV/이동식 주택
1423,여행 트레일러/캠핑카
1084,풋케어 용품
1085,핸드케어 용품
1337,기타 반려동물 용품
1393,오디오/GPS
1394,ATV 부품
1395,트레일러 부품
1396,차체 부품
1397,엔진/엔진 부품
1398,중장비 부품
1399,스노우모빌 부품
1400,RV/캠핑카 부품
1401,보트 부품
1402,변속기
1403,드라이브트레인
1404,기타 차량 부품/액세서리
1405,오토바이 부품
1406,기타 차량 악세서리
1290,커피 교환권
1291,편의점 교환권
1292,치킨 교환권
1293,기타 교환권
1279,워터파크 티켓
1280,놀이공원 티켓